N(MN0:GM),N(MN0:VTH),N(MN0:CGD),N(MN0:CGS),N(MN0:GDS),I(VD),VG
8.03364862e-11,6.73619189e-01,-2.33194011e-16,-3.85074219e-16,2.28361838e-12,-3.64346569e-12,7.80000000e-02
8.24919475e-11,6.73619189e-01,-2.33267266e-16,-3.85398296e-16,2.34489067e-12,-3.72487515e-12,7.90000000e-02
8.47052188e-11,6.73619189e-01,-2.33340788e-16,-3.85721110e-16,2.40780638e-12,-3.80846885e-12,8.00000000e-02
8.69778498e-11,6.73619189e-01,-2.33414580e-16,-3.86042659e-16,2.47240955e-12,-3.89430537e-12,8.10000000e-02
8.93114314e-11,6.73619189e-01,-2.33488642e-16,-3.86362939e-16,2.53874543e-12,-3.98244487e-12,8.20000000e-02
9.17075974e-11,6.73619189e-01,-2.33562977e-16,-3.86681948e-16,2.60686045e-12,-4.07294910e-12,8.30000000e-02
9.41680253e-11,6.73619189e-01,-2.33637585e-16,-3.86999682e-16,2.67680232e-12,-4.16588148e-12,8.40000000e-02
9.66944374e-11,6.73619189e-01,-2.33712467e-16,-3.87316138e-16,2.74861999e-12,-4.26130714e-12,8.50000000e-02
9.92886023e-11,6.73619189e-01,-2.33787626e-16,-3.87631315e-16,2.82236375e-12,-4.35929294e-12,8.60000000e-02
1.01952336e-10,6.73619189e-01,-2.33863062e-16,-3.87945210e-16,2.89808521e-12,-4.45990754e-12,8.70000000e-02
1.04687503e-10,6.73619189e-01,-2.33938777e-16,-3.88257820e-16,2.97583740e-12,-4.56322142e-12,8.80000000e-02
1.07496017e-10,6.73619189e-01,-2.34014771e-16,-3.88569144e-16,3.05567473e-12,-4.66930699e-12,8.90000000e-02
1.10379844e-10,6.73619189e-01,-2.34091048e-16,-3.88879179e-16,3.13765310e-12,-4.77823856e-12,9.00000000e-02
1.13341003e-10,6.73619189e-01,-2.34167608e-16,-3.89187924e-16,3.22182987e-12,-4.89009245e-12,9.10000000e-02
1.16381566e-10,6.73619189e-01,-2.34244452e-16,-3.89495376e-16,3.30826398e-12,-5.00494703e-12,9.20000000e-02
1.19503660e-10,6.73619189e-01,-2.34321581e-16,-3.89801535e-16,3.39701591e-12,-5.12288276e-12,9.30000000e-02
1.22709471e-10,6.73619189e-01,-2.34398998e-16,-3.90106398e-16,3.48814778e-12,-5.24398226e-12,9.40000000e-02
1.26001241e-10,6.73619189e-01,-2.34476704e-16,-3.90409964e-16,3.58172337e-12,-5.36833036e-12,9.50000000e-02
1.29381274e-10,6.73619189e-01,-2.34554700e-16,-3.90712233e-16,3.67780816e-12,-5.49601416e-12,9.60000000e-02
1.32851935e-10,6.73619189e-01,-2.34632987e-16,-3.91013202e-16,3.77646940e-12,-5.62712311e-12,9.70000000e-02
1.36415653e-10,6.73619189e-01,-2.34711568e-16,-3.91312870e-16,3.87777611e-12,-5.76174905e-12,9.80000000e-02
1.40074920e-10,6.73619189e-01,-2.34790443e-16,-3.91611238e-16,3.98179920e-12,-5.89998627e-12,9.90000000e-02
1.43832296e-10,6.73619189e-01,-2.34869614e-16,-3.91908304e-16,4.08861143e-12,-6.04193159e-12,1.00000000e-01
1.47690410e-10,6.73619189e-01,-2.34949082e-16,-3.92204067e-16,4.19828755e-12,-6.18768444e-12,1.01000000e-01
1.51651961e-10,6.73619189e-01,-2.35028849e-16,-3.92498527e-16,4.31090428e-12,-6.33734689e-12,1.02000000e-01
1.55719720e-10,6.73619189e-01,-2.35108917e-16,-3.92791684e-16,4.42654041e-12,-6.49102376e-12,1.03000000e-01
1.59896532e-10,6.73619189e-01,-2.35189287e-16,-3.93083536e-16,4.54527684e-12,-6.64882268e-12,1.04000000e-01
1.64185318e-10,6.73619189e-01,-2.35269960e-16,-3.93374084e-16,4.66719663e-12,-6.81085415e-12,1.05000000e-01
1.68589078e-10,6.73619189e-01,-2.35350938e-16,-3.93663328e-16,4.79238505e-12,-6.97723164e-12,1.06000000e-01
1.73110892e-10,6.73619189e-01,-2.35432223e-16,-3.93951268e-16,4.92092967e-12,-7.14807166e-12,1.07000000e-01
1.77753921e-10,6.73619189e-01,-2.35513816e-16,-3.94237904e-16,5.05292041e-12,-7.32349383e-12,1.08000000e-01
1.82521414e-10,6.73619189e-01,-2.35595718e-16,-3.94523236e-16,5.18844957e-12,-7.50362099e-12,1.09000000e-01
1.87416702e-10,6.73619189e-01,-2.35677932e-16,-3.94807264e-16,5.32761193e-12,-7.68857925e-12,1.10000000e-01
1.92443210e-10,6.73619189e-01,-2.35760459e-16,-3.95089989e-16,5.47050482e-12,-7.87849813e-12,1.11000000e-01
1.97604451e-10,6.73619189e-01,-2.35843300e-16,-3.95371411e-16,5.61722816e-12,-8.07351058e-12,1.12000000e-01
2.02904034e-10,6.73619189e-01,-2.35926456e-16,-3.95651531e-16,5.76788455e-12,-8.27375315e-12,1.13000000e-01
2.08345663e-10,6.73619189e-01,-2.36009931e-16,-3.95930350e-16,5.92257931e-12,-8.47936600e-12,1.14000000e-01
2.13933143e-10,6.73619189e-01,-2.36093724e-16,-3.96207868e-16,6.08142062e-12,-8.69049309e-12,1.15000000e-01
2.19670380e-10,6.73619189e-01,-2.36177839e-16,-3.96484087e-16,6.24451953e-12,-8.90728221e-12,1.16000000e-01
2.25561383e-10,6.73619189e-01,-2.36262275e-16,-3.96759007e-16,6.41199005e-12,-9.12988510e-12,1.17000000e-01
2.31610270e-10,6.73619189e-01,-2.36347036e-16,-3.97032630e-16,6.58394926e-12,-9.35845760e-12,1.18000000e-01
2.37821268e-10,6.73619189e-01,-2.36432122e-16,-3.97304957e-16,6.76051736e-12,-9.59315968e-12,1.19000000e-01
2.44198719e-10,6.73619189e-01,-2.36517536e-16,-3.97575988e-16,6.94181777e-12,-9.83415562e-12,1.20000000e-01
2.50747078e-10,6.73619189e-01,-2.36603278e-16,-3.97845726e-16,7.12797720e-12,-1.00816141e-11,1.21000000e-01
2.57470921e-10,6.73619189e-01,-2.36689352e-16,-3.98114172e-16,7.31912576e-12,-1.03357083e-11,1.22000000e-01
2.64374946e-10,6.73619189e-01,-2.36775757e-16,-3.98381328e-16,7.51539703e-12,-1.05966160e-11,1.23000000e-01
2.71463978e-10,6.73619189e-01,-2.36862497e-16,-3.98647194e-16,7.71692818e-12,-1.08645198e-11,1.24000000e-01
2.78742968e-10,6.73619189e-01,-2.36949572e-16,-3.98911773e-16,7.92386002e-12,-1.11396073e-11,1.25000000e-01
2.86217001e-10,6.73619189e-01,-2.37036985e-16,-3.99175067e-16,8.13633715e-12,-1.14220708e-11,1.26000000e-01
2.93891299e-10,6.73619189e-01,-2.37124737e-16,-3.99437078e-16,8.35450801e-12,-1.17121080e-11,1.27000000e-01
3.01771222e-10,6.73619189e-01,-2.37212830e-16,-3.99697807e-16,8.57852503e-12,-1.20099219e-11,1.28000000e-01
3.09862274e-10,6.73619189e-01,-2.37301265e-16,-3.99957257e-16,8.80854470e-12,-1.23157208e-11,1.29000000e-01
3.18170104e-10,6.73619189e-01,-2.37390045e-16,-4.00215430e-16,9.04472771e-12,-1.26297187e-11,1.30000000e-01
3.26700516e-10,6.73619189e-01,-2.37479171e-16,-4.00472327e-16,9.28723902e-12,-1.29521352e-11,1.31000000e-01
3.35459466e-10,6.73619189e-01,-2.37568644e-16,-4.00727952e-16,9.53624802e-12,-1.32831959e-11,1.32000000e-01
3.44453069e-10,6.73619189e-01,-2.37658468e-16,-4.00982306e-16,9.79192863e-12,-1.36231324e-11,1.33000000e-01
3.53687606e-10,6.73619189e-01,-2.37748643e-16,-4.01235392e-16,1.00544594e-11,-1.39721824e-11,1.34000000e-01
3.63169523e-10,6.73619189e-01,-2.37839171e-16,-4.01487213e-16,1.03240236e-11,-1.43305901e-11,1.35000000e-01
3.72905439e-10,6.73619189e-01,-2.37930054e-16,-4.01737771e-16,1.06008096e-11,-1.46986061e-11,1.36000000e-01
3.82902151e-10,6.73619189e-01,-2.38021294e-16,-4.01987069e-16,1.08850105e-11,-1.50764879e-11,1.37000000e-01
3.93166636e-10,6.73619189e-01,-2.38112892e-16,-4.02235110e-16,1.11768247e-11,-1.54644997e-11,1.38000000e-01
4.03706059e-10,6.73619189e-01,-2.38204851e-16,-4.02481895e-16,1.14764561e-11,-1.58629128e-11,1.39000000e-01
4.14527774e-10,6.73619189e-01,-2.38297173e-16,-4.02727429e-16,1.17841138e-11,-1.62720059e-11,1.40000000e-01
4.25639333e-10,6.73619189e-01,-2.38389859e-16,-4.02971714e-16,1.21000124e-11,-1.66920649e-11,1.41000000e-01
4.37048490e-10,6.73619189e-01,-2.38482911e-16,-4.03214753e-16,1.24243725e-11,-1.71233837e-11,1.42000000e-01
4.48763204e-10,6.73619189e-01,-2.38576330e-16,-4.03456549e-16,1.27574205e-11,-1.75662638e-11,1.43000000e-01
4.60791650e-10,6.73619189e-01,-2.38670120e-16,-4.03697105e-16,1.30993887e-11,-1.80210147e-11,1.44000000e-01
4.73142218e-10,6.73619189e-01,-2.38764282e-16,-4.03936424e-16,1.34505158e-11,-1.84879544e-11,1.45000000e-01
4.85823522e-10,6.73619189e-01,-2.38858817e-16,-4.04174510e-16,1.38110467e-11,-1.89674094e-11,1.46000000e-01
4.98844409e-10,6.73619189e-01,-2.38953727e-16,-4.04411366e-16,1.41812331e-11,-1.94597147e-11,1.47000000e-01
5.12213959e-10,6.73619189e-01,-2.39049016e-16,-4.04646994e-16,1.45613332e-11,-1.99652144e-11,1.48000000e-01
5.25941496e-10,6.73619189e-01,-2.39144683e-16,-4.04881399e-16,1.49516120e-11,-2.04842619e-11,1.49000000e-01
5.40036591e-10,6.73619189e-01,-2.39240732e-16,-4.05114584e-16,1.53523418e-11,-2.10172199e-11,1.50000000e-01
5.54509073e-10,6.73619189e-01,-2.39337165e-16,-4.05346553e-16,1.57638021e-11,-2.15644609e-11,1.51000000e-01
5.69369032e-10,6.73619189e-01,-2.39433983e-16,-4.05577308e-16,1.61862799e-11,-2.21263672e-11,1.52000000e-01
5.84626826e-10,6.73619189e-01,-2.39531188e-16,-4.05806854e-16,1.66200697e-11,-2.27033316e-11,1.53000000e-01
6.00293091e-10,6.73619189e-01,-2.39628782e-16,-4.06035194e-16,1.70654740e-11,-2.32957571e-11,1.54000000e-01
6.16378747e-10,6.73619189e-01,-2.39726768e-16,-4.06262331e-16,1.75228033e-11,-2.39040576e-11,1.55000000e-01
6.32895003e-10,6.73619189e-01,-2.39825147e-16,-4.06488270e-16,1.79923765e-11,-2.45286581e-11,1.56000000e-01
6.49853368e-10,6.73619189e-01,-2.39923921e-16,-4.06713015e-16,1.84745208e-11,-2.51699949e-11,1.57000000e-01
6.67265660e-10,6.73619189e-01,-2.40023093e-16,-4.06936568e-16,1.89695723e-11,-2.58285161e-11,1.58000000e-01
6.85144010e-10,6.73619189e-01,-2.40122665e-16,-4.07158934e-16,1.94778761e-11,-2.65046816e-11,1.59000000e-01
7.03500872e-10,6.73619189e-01,-2.40222638e-16,-4.07380117e-16,1.99997863e-11,-2.71989636e-11,1.60000000e-01
7.22349033e-10,6.73619189e-01,-2.40323014e-16,-4.07600121e-16,2.05356666e-11,-2.79118471e-11,1.61000000e-01
7.41701621e-10,6.73619189e-01,-2.40423796e-16,-4.07818949e-16,2.10858904e-11,-2.86438298e-11,1.62000000e-01
7.61572114e-10,6.73619189e-01,-2.40524986e-16,-4.08036607e-16,2.16508410e-11,-2.93954230e-11,1.63000000e-01
7.81974348e-10,6.73619189e-01,-2.40626586e-16,-4.08253096e-16,2.22309119e-11,-3.01671513e-11,1.64000000e-01
8.02922530e-10,6.73619189e-01,-2.40728597e-16,-4.08468423e-16,2.28265072e-11,-3.09595537e-11,1.65000000e-01
8.24431243e-10,6.73619189e-01,-2.40831023e-16,-4.08682590e-16,2.34380416e-11,-3.17731832e-11,1.66000000e-01
8.46515461e-10,6.73619189e-01,-2.40933865e-16,-4.08895603e-16,2.40659410e-11,-3.26086080e-11,1.67000000e-01
8.69190554e-10,6.73619189e-01,-2.41037126e-16,-4.09107465e-16,2.47106426e-11,-3.34664111e-11,1.68000000e-01
8.92472305e-10,6.73619189e-01,-2.41140807e-16,-4.09318180e-16,2.53725953e-11,-3.43471913e-11,1.69000000e-01
9.16376915e-10,6.73619189e-01,-2.41244911e-16,-4.09527752e-16,2.60522598e-11,-3.52515633e-11,1.70000000e-01
9.40921017e-10,6.73619189e-01,-2.41349440e-16,-4.09736187e-16,2.67501093e-11,-3.61801583e-11,1.71000000e-01
9.66121687e-10,6.73619189e-01,-2.41454396e-16,-4.09943488e-16,2.74666294e-11,-3.71336242e-11,1.72000000e-01
9.91996456e-10,6.73619189e-01,-2.41559781e-16,-4.10149659e-16,2.82023188e-11,-3.81126264e-11,1.73000000e-01
1.01856332e-09,6.73619189e-01,-2.41665598e-16,-4.10354706e-16,2.89576894e-11,-3.91178478e-11,1.74000000e-01
1.04584076e-09,6.73619189e-01,-2.41771848e-16,-4.10558631e-16,2.97332667e-11,-4.01499899e-11,1.75000000e-01
1.07384774e-09,6.73619189e-01,-2.41878535e-16,-4.10761440e-16,3.05295903e-11,-4.12097725e-11,1.76000000e-01
1.10260374e-09,6.73619189e-01,-2.41985660e-16,-4.10963137e-16,3.13472141e-11,-4.22979350e-11,1.77000000e-01
1.13212874e-09,6.73619189e-01,-2.42093225e-16,-4.11163727e-16,3.21867067e-11,-4.34152363e-11,1.78000000e-01
1.16244327e-09,6.73619189e-01,-2.42201233e-16,-4.11363214e-16,3.30486520e-11,-4.45624557e-11,1.79000000e-01
1.19356841e-09,6.73619189e-01,-2.42309687e-16,-4.11561602e-16,3.39336492e-11,-4.57403930e-11,1.80000000e-01
1.22552577e-09,6.73619189e-01,-2.42418588e-16,-4.11758896e-16,3.48423136e-11,-4.69498699e-11,1.81000000e-01
1.25833757e-09,6.73619189e-01,-2.42527938e-16,-4.11955101e-16,3.57752769e-11,-4.81917294e-11,1.82000000e-01
1.29202661e-09,6.73619189e-01,-2.42637741e-16,-4.12150220e-16,3.67331876e-11,-4.94668374e-11,1.83000000e-01
1.32661628e-09,6.73619189e-01,-2.42747998e-16,-4.12344259e-16,3.77167114e-11,-5.07760828e-11,1.84000000e-01
1.36213061e-09,6.73619189e-01,-2.42858712e-16,-4.12537223e-16,3.87265316e-11,-5.21203782e-11,1.85000000e-01
1.39859427e-09,6.73619189e-01,-2.42969885e-16,-4.12729115e-16,3.97633499e-11,-5.35006605e-11,1.86000000e-01
1.43603257e-09,6.73619189e-01,-2.43081519e-16,-4.12919940e-16,4.08278866e-11,-5.49178916e-11,1.87000000e-01
1.47447151e-09,6.73619189e-01,-2.43193618e-16,-4.13109704e-16,4.19208811e-11,-5.63730592e-11,1.88000000e-01
1.51393777e-09,6.73619189e-01,-2.43306182e-16,-4.13298410e-16,4.30430924e-11,-5.78671771e-11,1.89000000e-01
1.55445874e-09,6.73619189e-01,-2.43419216e-16,-4.13486063e-16,4.41952998e-11,-5.94012863e-11,1.90000000e-01
1.59606255e-09,6.73619189e-01,-2.43532720e-16,-4.13672669e-16,4.53783033e-11,-6.09764555e-11,1.91000000e-01
1.63877806e-09,6.73619189e-01,-2.43646699e-16,-4.13858231e-16,4.65929240e-11,-6.25937820e-11,1.92000000e-01
1.68263490e-09,6.73619189e-01,-2.43761153e-16,-4.14042754e-16,4.78400052e-11,-6.42543921e-11,1.93000000e-01
1.72766349e-09,6.73619189e-01,-2.43876085e-16,-4.14226243e-16,4.91204121e-11,-6.59594423e-11,1.94000000e-01
1.77389508e-09,6.73619189e-01,-2.43991499e-16,-4.14408703e-16,5.04350334e-11,-6.77101200e-11,1.95000000e-01
1.82136170e-09,6.73619189e-01,-2.44107396e-16,-4.14590139e-16,5.17847809e-11,-6.95076441e-11,1.96000000e-01
1.87009628e-09,6.73619189e-01,-2.44223779e-16,-4.14770554e-16,5.31705911e-11,-7.13532661e-11,1.97000000e-01
1.92013260e-09,6.73619189e-01,-2.44340651e-16,-4.14949954e-16,5.45934250e-11,-7.32482706e-11,1.98000000e-01
1.97150533e-09,6.73619189e-01,-2.44458013e-16,-4.15128344e-16,5.60542694e-11,-7.51939767e-11,1.99000000e-01
2.02425008e-09,6.73619189e-01,-2.44575869e-16,-4.15305729e-16,5.75541370e-11,-7.71917386e-11,2.00000000e-01
2.07840339e-09,6.73619189e-01,-2.44694221e-16,-4.15482112e-16,5.90940676e-11,-7.92429464e-11,2.01000000e-01
2.13400278e-09,6.73619189e-01,-2.44813072e-16,-4.15657499e-16,6.06751286e-11,-8.13490274e-11,2.02000000e-01
2.19108674e-09,6.73619189e-01,-2.44932424e-16,-4.15831895e-16,6.22984156e-11,-8.35114468e-11,2.03000000e-01
2.24969483e-09,6.73619189e-01,-2.45052280e-16,-4.16005303e-16,6.39650534e-11,-8.57317089e-11,2.04000000e-01
